AH1-V-ER0-M-EH2-N-T-AH0-L-IY0, GOVERNMENTALLY
EH1-F-ER0-S-AH0-N-Z, JEFFERSON'S
AE1-L-AH0-B-AY2, ALIBI
AA1-R-M-IY0-AH0-N, CARMEAN CHARMIAN CHARMION MARMION
IH1-JH-AH0-N-AH0-S, INDIGENOUS POLYGYNOUS
IY1-L-AH0-S-T-EY2-T, REALESTATE
UW1-D-IH2-S-IY0, GIUDICE
UW1-M-ER0-AH0-S, HUMEROUS HUMERUS HUMOROUS NUMEROUS
AO1-T-IH2-Z-AH0-M, AUTISM
EH1-Z-N-AH0-Z, CESSNA'S(2)
UH1-K-AH0-L-AY2-K, LOOKALIKE
UW1-T-S-K-OY0, RUTSKOI
IY1-M-EY0-L-D, EMAILED
UW1-Z-IH0-NG-L-IY0, ACCUSINGLY AMUSINGLY CONFUSINGLY
ER1-AH0-N-B-ER0-G, SCHURRENBERG
IH1-T-IY0-F-EH2-D, CITYFED
EH1-M-P-S-T-EH0-D, HEMPSTEAD
AA1-W-EH2, YAHWEH
AA1-K-B-R-AH2-K-N-ER0, HOCHBRUECKNER
OW1-B-L-ER0, NOBLER
OW1-Z-W-IH2-T-S, ROSEWICZ
UH1-T-HH-IH2-L-Z, FOOTHILLS
AA1-S-OW0-Z, PICASSO'S
AE1-S-K-IH0-NG, ASKING BASKING MASKING TASKING
AA1-D-ER0-N-AH0-S-T, MODERNIST
EH1-N-T-AH0-T-IH0-V-Z, PREVENTATIVES REPRESENTATIVE'S REPRESENTATIVES REPRESENTATIVES'
IH1-T-IY0-L-AH0-S, PITILESS
IY1-N-EY2-JH, TEENAGE
AH1-L-F-OW0, ARNULFO
EH1-N-S-AH0-T-AY2-Z, DESENSITIZE SENSITIZE
IH1-M-IH0-JH-R-IY0-Z, IMAGERIES
AE1-SH-AH0-T, CASHATT
EH1-G-AH0-T-IH0-V-IH2-Z-AH0-M, NEGATIVISM
EH1-K-AH0-N-Z, BECKONS RECKONS SECONDS(2)
AE1-P-T, ADAPT APT CAPPED CLAPPED ENTRAPPED FLAPPED KEPT(2) LAPPED MAPPED NAPPED RAPPED RAPT RECAPPED SAPPED SCRAPPED SLAPPED SNAPPED STRAPPED TAPPED TRAPPED UNTAPPED UNWRAPPED WRAPPED ZAPPED
IH1-S-AH0-B-AH0-L, ADMISSIBLE IMMISCIBLE IMPERMISSIBLE INADMISSIBLE INEXPLICABLE MISCIBLE PERMISSIBLE
UW1-N-IH0-K-EY2-T-S, COMMUNICATES
AO1-NG-T-AY2-M, LONGTIME
AA1-R-JH-M-AH0-N-T-S, ENLARGEMENTS
AA1-R-N-AO2-F, TARNOFF
EH1-JH-IH0-NG-T-AH0-N-Z, EDGINGTON'S
AH1-DH-ER0-K-EH2-R, MOTHERCARE
EH1-M-ER0-L-IH2-N, TEMERLIN
AA1-R-S-L-OW2, PARSLOW
ER1-B-IY2, FURBEE
AA1-R-G-Y-UW0-ER0, ARGUER
EY1-S-B-AO2-R-D-Z, BASEBOARDS
IH1-JH-AH0-N-EY2-T-IH0-NG, ORIGINATING
AA1-L-AH0-T-B-Y-UH2-R-OW0-Z, POLITBURO'S
EH1-N-IH0-G-AH0-Z, VENEGAS
AE1-CH-T-IH0-G-AH0-L, NACHTIGAL
AE1-L-AH0-DH-AH0, TALITHA
AA1-M-S-T-IY2-N, FROMSTEIN
AE1-N-AH0-M-AH0-S, ANIMISTS(3) ANIMOUS ANIMUS MAGNANIMOUS UNANIMOUS
AE1-M-ER0-S-T-AY2-N-Z, HAMMERSTEIN'S(2)
EH1-N-ER0-IY0-Z, DOCUMENTARIES(2)
EY1-F-T-IY0-Z, SAFETY'S
IH1-N-L-AH0-N-D, FINLAND(2) WINLAND
IH1-S-T-ER0, BLISTER BRISTER FISTER HYSTER ISTRE KISTER LISTER LYSTER MISTER MR MR. PFISTER PISTOR RISTER SISTER SR(2) TRANSISTOR TWISTER
IH1-T-ER0-AH0-T, ILLITERATE LITERATE
OW1-K-IY0-Z, COKIE'S
UW1-M-AH0-N-EY2-T-IH0-NG, ILLUMINATING
AA1-D-Z-D-AH0-N, HODSDON
IH1-R-D-ER0, WEIRDER
EH1-F-AH0-N-S-AH0-N, STEFFENSEN STEFFENSON
AO1-K-S-AY0-T, BAUXITE
ER1-N-AH0-V-IH2-CH, CRNKOVICH
AE1-N-S-AE2-K-IH0-NG, RANSACKING
IH1-B-D-EH0-N-AH0-M, MOLYBDENUM
AA1-P-ER0-HH-EH2-D-Z, COPPERHEADS
AW1-TH-P-IY2-S, MOUTHPIECE
AH1-V-ER0-N, GOVERN LOVERN MCGOVERN SELF-GOVERN
AA1-R-T-ER0-IH0-NG, BARTERING CHARTERING
AA1-P-W-AA2-CH, STOPWATCH
AA1-R-B-AE2-SH, BARBASH
AE1-N-M-AH2-DH-ER0, GRANDMOTHER(2)
AH1-F-IH2-N, BUFFIN DUFFIN GUFFIN PUFFIN RUFFIN
AH1-F-IH0-NG, BLUFFING HUFFING PUFFING REBUFFING ROUGHING RUFFING SNUFFING STUFFING
AH1-N-D-R-IH0-K, BUNDRICK
AH1-P-K-AH0, KRUPKA KUPKA STUPKA
AE1-K-SH-AH0-N-Z, ABSTRACTIONS ACTION'S ACTIONS ATTRACTIONS CONTRACTIONS DISTRACTIONS EXACTIONS EXTRACTIONS FACTIONS FRACTIONS INFRACTIONS INTERACTIONS REACTIONS SATISFACTIONS TRANSACTION'S TRANSACTIONS
AO1-T-IH0-G-AE0-M-Z, BRAUTIGAMS
AE1-NG-G-L-ER0, ANGLER STANGLER(2) STRANGLER WANGLER
EH1-K-T-AH0-B-AH0-L, COLLECTIBLE DELECTABLE DETECTABLE ELECTABLE INJECTABLE RESPECTABLE UNCOLLECTABLE UNCOLLECTIBLE UNDETECTABLE UNELECTABLE
EH1-L-AH0-G-AH0-T, DELEGATE(2) MCELLIGOTT SUPERDELEGATE
AH1-K-SH-AA2-T, BUCKSHOT
EH1-R-AH0-N-AH0-T-S, BARONETS
AH1-N-S-W-IY2-T, SUNSWEET
EH1-S-P-AH0-L-AH0-N-D, ESPELAND
ER1-D-EH0-L, SCURDELL
ER1-S-AH0-N-AH0-L-Z, PERSONALS
EY1-B-ER0-D, BELABORED LABORED
EY1-D-AH0-T, HAIDET
AE1-P-ER0-OW2-N-IH0-NG, CHAPERONING
AH1-L-CH-ER0-AH0-L-AH0-S-T, AGRICULTURALIST
EY1-B-IY0-R-D, GRAYBEARD
IH1-K-S-AH0-N, BENDIXEN DICKSON DIXON DIXSON FREDRIKSEN HICKSON HIXON HIXSON MIXON MIXSON NICKSON NIXON RICKSON WIXON WIXSON
IH1-N-D-HH-OW2-L-M, LINDHOLM
AA1-P-Y-AH0-L-AH0-S-S, POPULISTS(2)
IH1-N-T-ER0-M, INTERM
IY1-D-AH0-S, ADDIDAS ADDIDAS' ADIDAS LAPIDUS(2) ORTHOPEDISTS(3) REDUS
IY1-HH-UW0-S-AH0-N, SEEHUSEN
OW1-K-ER0-IH0-JH-AH0-Z, BROKERAGE'S BROKERAGES BROKERAGES'
OW1-L-B, KOLB KOLBE
AO1-S-T-R-OW0, AUSTRO
OW1-V-ER0-P-AE2-S, OVERPASS
OY1-M-EY2-K-ER0, TOYMAKER
EH1-M-AA0-R-SH, DEMARSH
AE1-N-SH-AO2, CRANSHAW HANSHAW
AA1-G-L-IY0-AH0, AGOGLIA BATTAGLIA BUSCAGLIA FOGLIA GARAVAGLIA GOGLIA LAPAGLIA MEDAGLIA MOGLIA PETRAGLIA REDOGLIA TENAGLIA
UH1-L-W-UH2-D, FULLWOOD
IH1-L-S-AH0, ILSA
EY1-Z-AH0-L-B-EY2-K-ER0, HAZELBAKER
IH1-CH, BEWITCH BITCH BLITCH BRITSCH DITCH ENRICH FITCH FRITCH FRITSCH FRITSCHE GLITCH HITCH ICH ITCH KITCH KITSCH KLICH KRYCH LICH MICH MITCH MITSCH NICHE NITSCH NITSCHE NYCZ PICHE PITCH PITSCH RICH RICHE RITCH SNITCH STICH STITCH SWITCH TRICHE TRITCH TRITSCH TWITCH UNHITCH WHICH WICH WITCH ZICH
AO1-R-K-IY2, FORKEY
UW1-B-IH2-S, DUBIS KUBIS
AY1-R-ER0-Z, ADMIRERS
AE1-D-AH0-N-Z, MCFADDEN'S NEVADANS SADDENS
EH1-L-M-HH-ER0-S-T, ELMHURST
AA1-T-B-EH2-D-Z, HOTBEDS
AA1-M-IY0, ADAME ADAMI AJAMI AMI BADAMI BALMY BLASINGAME BLASSINGAME CALAME CERAMI COMMIE CROMIE DOMMIE DROMI FAHMY FILLINGAME ISLAMI ITAMI KARAMI KAWAKAMI MASAMI MINAMI MOMMY MURAKAMI PASTRAMI RAMASWAMI RAMI SALAMI SWAMI TOMMIE TOMMY TSUNAMI TWOMEY YANOMAMI(2)
AE1-N-JH-UW0, BAYANJOU DANJU
AA1-R-B-AH2-K-S, STARBUCK'S STARBUCKS
AA1-R-K-R-OW0, HARCROW
AO1-R-IY0-OW2-L, ORIOLE
AA1-N-K-W-IH2-S-T, CRONQUIST
AO1-R-V-AH0-T, HORVAT
AA1-S-AH0-L-EY2-T-ER0, OSCILLATOR
AE1-L-AH0-D-IY0, MALADY
AH1-L-P-AH0-T-AO2-R-IY0, EXCULPATORY
ER1-G-S-T-R-AA0-M, BERGSTROM
AE1-T-W-ER0-TH, ATWORTH
ER1-T-IH2-S, BURTIS KURTIS
IH1-T-S-B-ER0-G-Z, PITTSBURGH'S
IY1-K-W-EH0-Z, ENRIQUEZ MANRIQUEZ
UW1-JH-AH0-T-IH0-V, FUGITIVE
IY1-K-S-AH0-Z, SPEAKES'S
AE1-NG-K-AH0-T-AH0-D, BLANKETED
OW1-L-S-AH0-Z, BOLSA'S
IH1-T-S-UW0-Z, FUJITSU'S
AA1-N-AH0-Z-AH0-N-S, RECOGNIZANCE
EY1-L-IY0-AH0-N-Z, ALIENS EPISCOPALIANS
AA1-M-P-L-AH0-K-EY2-T-IH0-NG, COMPLICATING
AE1-T-AH0-L-M-AH0-N, CATTLEMEN
AA1-R-L-AH0-T-S-V-IH2-L, BARLETTESVILLE CHARLOTTESVILLE
AH1-M-B-L-ER0, TUMBLER
AW1-N-D-R-AE2-F-T, DOWNDRAFT
AA1-R-T-M-AH0-N-T, APARTMENT COMPARTMENT DEP DEPARTMENT
AA1-Z-AH0-T-AH0-D, CLOSETED DEPOSITED POSITED
EH1-R-AO0-L, KAROL
EH1-V-D, REVVED
EH1-V-AH0-L-AH0-N, EVELYN
EY1-Z-L-ER0, RAISLER
EY1-L-AH0-N-D, HAILAND LAYLAND LEYLAND MAYLAND NEYLAND WAYLAND WEYLAND
IH1-L-ER0-AE0-N, GILLERAN
IH1-N-IH0-V-Z, INCENTIVES(2)
AE1-M-R-AH0-T, KAMRADT
IY1-K-W-AH0-N-S-AH0-Z, SEQUENCES
AA1-T-S-AH0-N, DATSUN(2) DOTSON MATSEN MATSON WATSON
AA1-R-S-T-EH0-T-ER0, KARSTETTER
EH1-R-AH0-D-AY2-M-Z, PARADIGMS
AA1-R-N-IY0-ER0, GARNIER
IY1-N-Z-OW0, DARIENZO DERIENZO DIRIENZO
AY1-AH0-S-T, BIASED DRIEST GRIEST HIGHEST UNBIASED WIEST
UH1-SH, BUSCH BUSH CUSH(2) KUSH PUSH TUSH
AA1-Z-AH0-L-AH0-N-Z, ROSALYN'S
AA1-R-V-AH0-S, HARVESTS(3) JARVIS
AE1-N-TH, RHODANTHE
AW1-AY2, KAUAI
EH1-D-K-EH2-M, MEDCHEM
EH1-M-IH2-T, EMMET EMMIT
EH1-R-OW0-ER0, NARROWER
AE1-L-B-AH0-T, TALBOT TALBOTT
AA1-L-F-OW2, ADOLFO
AE1-K-CH-UW0-EY2-T-ER0, ACTUATOR(2)
AE1-K-T-EH0-N-B-ER0-G, ACHTENBERG
AH1-N-IY0-M-EY2-K-ER0, MONEYMAKER
AY1-N-S-T-AY2-N, FEINSTEIN REINSTEIN RHEINSTEIN WEINSTEIN
AO1-K-AW2-T-S, WALKOUTS
AA1-T-ER0-L-UW2, OTTERLOO
AY1-Z-AH0-N-B-AA0-K, EISENBACH WEISENBACH(2)
AY1-T-AH0-L-ER0, BEITLER BITLER SITLER ZEITLER
EH1-N-AH0-L-IH0-NG-ER0, DENLINGER
EH1-R-AH0-F-AY0, RAREFY
AA1-M-AH0-N-W-EH2-L-TH-S, COMMONWEALTH'S
AE1-L-AH0-N-D-ER0, ALLINDER CALENDAR CALLANDER
AE1-V-AH0-N-UW2, AVENUE
EH1-S-T-ER0-T-AH0-N, CHESTERTON
EH1-SH-ER0-AY2-Z-AH0-Z, PRESSURIZES
ER1-L-D-K-AO2-R-P, WORLDCORP
ER1-N-EY2-M, SURNAME
EY1-K-EH2-M, RAYCHEM
EY1-N-Z-B-ER0-G, AINSBERG
IH1-G-R-IH2-S-T, SIGRIST
AH1-N-AH0-L-IH0-NG, FUNNELING TUNNELING
AW1-N-T-AH0-B-AH0-L, ACCOUNTABLE COUNTABLE INSURMOUNTABLE UNACCOUNTABLE
AO1-HH-EH2-D, LAWHEAD
EH1-M-B-R-IY0-OW2-Z, EMBRYOS
AA1-R-AH0-S-T, FLORIST GUITARIST
ER1-K-AH0-T-R-IY0, CIRCUITRY
EY1-L-Y-EH0-S, STELLJES
AA1-D-IY0-G-AA2-R-D, BODYGUARD
AA1-K-S-AH0-K-EY2-T-AH0-D, INTOXICATED
EH1-F-R-AH0-B-L-IY0, PREFERABLY(2)
EH1-HH-AO0-F, DEHOFF
EY1-S-K-AH0, VALESKA
EH1-K-AO0-R-S-IY0, DECOURSEY
IH1-NG-T-AY2-M, SPRINGTIME
IH1-P-K-AA2-M, CHIPCOM
IH1-S-T-AH0-F-AY2-D, MYSTIFIED
IY1-B-OW0-IH2-T-S, LEIBOWITZ
IY1-D-M-AH0-N-Z, FREEDMAN'S FRIEDMAN'S
ER1-N-AH0-S-AH0-Z, FURNACES
IH1-N-S-L-OW2, KINSLOW
IY1-K-AH0-Z, LEKAS LUXOTTICA'S RICA'S TOPEKA'S
OW1-F-AH2-S-K-IY0, DAUFUSKIE
OW1-L-AH0-Z, ABIOLA'S ANGOLA'S APALACHICOLA'S COLA'S COPPOLA'S GOLAS GONDOLAS(2) MAZZOLA'S MOTOROLA'S VIOLAS
OW1-T-G-ER0, BOETTGER ROETTGER
OY1-L-AH0-JH, SPOILAGE
UH1-SH-B-AW2-M, BUSCHBAUM
UW1-D-OW0-Z, ESCUDOS
AE1-M-B-IY0-AH0-N, ZAMBIAN
AE1-L-D-IH2-S, VALDIS
AA1-NG-G-R-AH0-S-P-ER2-S-AH0-N, CONGRESSPERSON
AA1-K-T-AH0-G-AA2-N, OCTAGON
AE1-N-AH0-JH-AH0-Z, VANTAGES(2)
EH1-T-IY2, MACHETE SETI
ER1-N-AH0-M-AH0-N-T-S, TOURNAMENTS
AE1-M-AH0-N-EY2-T-S, CONTAMINATES
IY1-CH-T-R-IY2, PEACHTREE
OW1-B-AA2-R, CROWBAR
EH1-K-W-AH0-T-AH0-S, EQUITAS
IH1-K-T-AY2-T, STICKTIGHT
UW1-F, ALOOF BUFE GOOF HOOF MALOOF PLOOF POOF PROOF RENOUF ROOF RUEF RUEFF RUFE RUSTPROOF SPOOF WOOF
ER1-DH-IY0-Z, WORTHIES
AE1-S-T-AH0-M-ER0, ELASTOMER
UW1-L-AH0-HH-AE0-N, HOOLIHAN HOULIHAN
UW1-M-AH0-JH, PLUMAGE
UW1-N-AH0-K-AE2-L-Z, UNOCAL'S
AY1-V-L-IY0-N-AH0-S, LIVELINESS
UW1-SH-AH0-N-ER0, EXECUTIONER
AY1-Z-AH0-N-AA2-K, EISENACH
AA1-N-D-IH0-NG, BONDING CORRESPONDING RESPONDING
ER1-P-IY0, BURPEE CHIRPY
AH1-D-Z-UW0, KUDZU
IH1-NG-G-AH0-L-Z, DINGELL'S GINGLES INGELS INGLES JINGLES MINGLES SHINGLES SINGLES
OW1-DH-IY0-ER0, CLOUTHIER(3)
AE1-K-T-EY0-T-IH0-NG, LACTATING
AO1-D-B-EH2-N-T, BROADBENT
ER1-B-ER0-EY2-T-AH0-D, REVERBERATED
AY1-K-OW0-P-AE2-TH, PSYCHOPATH
OY1-L-AH0-T-R-IY0-Z, TOILETRIES
UW1-T-R-IY0-AH0-N-T-S, NUTRIENTS
AY1-T-B-IH2-L, BRIGHTBILL
UW1-M-OW0-L-OW0-Z, MACUMOLO'S
IY1-AH0-N-AH0-S, PIANISTS(6)
AA1-K-S-AH0-F-AH0-N, TAMOXIFEN
AA1-N-AH0, AKANA ALANNA ANA AULANA BENIHANA BIANA BONADONNA BOPHUTHATSWANA BOTSWANA BRIANA(2) CARONNA DIDONNA DIGIOVANNA DOMINICANA DONNA DWANA GIANCANA GONNA GUIANA GUYANA HABYARIMANA HARYANA IGUANA IVANA IVANNA JUANA KIWANI LACKAWANNA LIANA LIANNA LOUANNA MADONNA MAHAYANA MANA MARIANNA MARIJUANA MAZZORANA NIRVANA NONA PARANA QANA RONNA SANA SANTAYANA SEBASTIANA SHOBANA SHOBANNA SILVANA STEPHANA SUSANA SUZUANA SVETLANA TATYANA TAWANA TIJUANA UMANA WANNA WANTA(2) ZUZANA
AE1-K-OW0-ER0, KRAKOWER
IH1-V-L-AH0-JH-AH0-Z, PRIVILEGES
AH1-D-IH0-K, LUDEKE RUDDICK RUDICH
AE1-M-S-T-R-IH2-NG, HAMSTRING
AW1-D-AH0-S, CLOWDUS
IH1-S-T-R-OW0, BISTRO
OW1-D-IY0-AH0-S, COMMODIOUS MELODIOUS ODIOUS
AA1-R-K-AH0-T-EH2-K-CH-ER0, ARCHITECTURE
AY1-G-AO2-N, BYGONE
AE1-T-ER0-IY2-Z, MATTEREASE
UW1-D-AH0-N, DUDEN GULBUDDIN HUDON MADHUSUDAN PRUDEN RUDEN UDEN
UW1-SH-AH0-N-AH0-L, CONSTITUTIONAL INSTITUTIONAL UNCONSTITUTIONAL
UW1-Z-N-IH2-K-S, USENIX
IH1-NG-K-W-IH2-S-T, RINGQUIST
UW1-SH-AH0-N-AY2-Z-D, REVOLUTIONIZED
AA1-JH-AH0-T, BLODGETT
AY1-JH-AH0-N, REPLIGEN
EH1-SH-AH0-N-AH0-S-T, EXPRESSIONIST IMPRESSIONIST SECESSIONIST
AE1-T-IH2-D-EY2, SATURDAY(2)
AA1-R-D-R-IY0, ARDREY
AW1-B-EH0-T, DOUBET
EH1-L-N-ER0, ELLNER FELLNER GELLNER HELLNER KELLNER KELNER MELNOR SELLNER SELNER WELLNER ZELLNER
EH1-L-AH0-K-AA2-R-D, TELECARD
EH1-N-B-R-IH2-NG-K, TENBRINK
EH1-T-AH0-W-EY2-Z, GETAWAYS
ER1-V-AH0-N, EARVIN ERVEN GIRVAN GIRVEN KIRVEN SERVAN
IH1-K-T-AH0-D, ADDICTED AFFLICTED CONFLICTED CONSTRICTED CONTRADICTED CONVICTED DEPICTED EVICTED INFLICTED PREDICTED RESTRICTED UNCONTRADICTED UNRESTRICTED
AE1-N-D-ER0-V-EH2-L-D-AH0-N, VANDERVELDEN
ER1-T-AH0-M-B-ER0-G, WUERTTEMBERG
IY1-T-AH0-D, CHEATED COMPETED COMPLETED CONCEITED DEFEATED DELETED DEPLETED GREETED HEATED MALTREATED METED MISTREATED REPEATED RETREATED SEATED SECRETED SUPERHEATED TREATED UNCOMPLETED UNDEFEATED UNSEATED UNTREATED
AO1-R-HH-EH2-D-Z, FOREHEADS WARHEADS
IH1-S-K-AW2-N-ER0-R-Z, DISCOUNTERS(2)
IH1-V-AH0-L-R-IY0, CHIVALRY
OW1-Z-K-R-AE2-N-Z, ROSECRANS
UW1-Z-OW0, ABRUZZO APUZZO GALLUZZO GUZZO NUZZO PUZO PUZZO RUZZO RYUZO SCAVUZZO
EH1-S-T-R-AH0-JH-AH0-N-Z, ESTROGENS
AA1-L-F-ER0-Z, GOLFER'S GOLFERS
UH1-D-HH-AH0-M-Z, WOODHAMS
AA1-T-AH0-M-Z, BOTTOM'S BOTTOMS
IH1-L-Y-AH0-N-S-IY0, RESILIENCY
AA1-R-AH0-L-D, HARALD SNARLED
AA1-R-N-B-ER0-OW0, FARNBOROUGH
AH1-D-L-AH0-S, BLOODLESS
EH1-V-AH0-N-HH-AH0-G-AH0-N, LEVENHAGEN
AE1-F-T-ER0-TH-AA2-T, AFTERTHOUGHT
AO1-T-ER0-K-R-EH2-S, WATERCRESS
EH1-D-AH0-T-ER0-Z, CREDITORS CREDITORS' EDITOR'S EDITORS EDITORS' PREDATORS
IY1-S-T-OW2-N-Z, KEYSTONE'S
EH1-D-M-AH0-N, DEDMAN DEDMON EDMAN FREDMAN HEADMAN HEDMAN REDMANN REDMON STEADMAN STEDMAN TEDMAN
AY1-N-L-IY0, BENIGNLY DIVINELY FINELY HEINLY HINELY
AE1-N-V-IY0, DANVY HANVEY
AE1-B-AH0-K-IH0-S-K-AH0-S, ABACISCUS
AE1-N-D-AH0-D-AH0-T, MULTICANDIDATE(2)
AE1-N-M-IH2-L-ER0, DANNEMILLER(2)
EH1-D-AH0-K-EY2-T-S, PREDICATES
AA1-N-T-EY0, ALLANTE ANDANTE COMANDANTE DANTE MERICANTANTE PICANTE QUARANTE RISTORANTE SQUILLANTE VOLANTE
AA1-R-EH0-N-Z, AHRENS
AH1-P-ER0-W-EH2-R, TUPPERWARE
IH1-N-Z-M-AE2-N, KINSMAN
IH1-T-R-IY0-AH0-S, VITREOUS
AE1-G-L-EH2-V, MAGLEV
EY1-TH-K-AA2-K, HAITHCOCK
AA1-T-ER0-B-AY0-N, OTTERBEIN
OW1-N-M-AH0-N-T-S, POSTPONEMENTS
AW1-SH-IH2-L-T, HAUSCHILDT
AH1-N-D-AH0-S-T-AE2-G, BUNDESTAG
AE1-N-CH-IY0-EY2-T-AH0-D, SUBSTANTIATED(2)
AE1-M-F-IY0, NAMPHY
AE1-N-AH0-D-AY2-N, STANADYNE
AE1-F-EH0-V-ER0, LAFEVER
AH1-NG-G-AH0, KOWABUNGA
AE1-L-AH0-N-S-IH0-NG, BALANCING REBALANCING
AW1-D-ER0-IH0-NG, POWDERING
AH1-S-T-W-ER2-DH-IY0, TRUSTWORTHY UNTRUSTWORTHY
EH1-R-AH0-K-IY2, CHEROKEE
AE1-V-AH0-S-AH0-N, DAVISSON
EH1-R-AE0-K, DARAK SHERAK
AA1-R-M-AE2-K, TARMAC
AH1-N-T-AH0-L-Z, GRUNTAL'S
AA1-G-Z-D-IH2-L, STOGSDILL
AO1-R-K-ER0-N, CORKERN
AE1-D-L-AY0-N, HADLINE
AW1-R-B-AE2-K, AUERBACK
EH1-V-R-IY0-TH-IH2-NG-Z, EVERYTHING'S
AW1-T-R-EY2-JH, OUTRAGE
EY1-S-IH0-V-L-IY0, PERSUASIVELY
IH1-N-AH0-T-EH2-K, DYNATECH
IY1-W-IY2, PEEWEE ZEWE
AH1-G-IH0-NG-Z, MUGGINGS
AY1-N-AY2-D, CYANIDE(2)
AE1-SH-L-IY2, LASHLEE
AW1-K-AH0-Z, DOUKAS
AE1-N-AH0-T-EH2-R-IY0, INTERPLANETARY PLANETARY SANITARY UNSANITARY
IH1-SH-IY0-EH2-R-IY0-Z, BENEFICIARIES BENEFICIARY'S
AA1-N-R-AE0-D-Z, CONRAD'S CONRADS
AA1-R-N-AH0-S-IH0-NG, HARNESSING
AO1-R-M-AH0-L-IH2-N, FORMYLIN
EH1-L-IY0-Z, ALLELES BELLIES DELHI'S DOMINELLI'S JELLIES JELLY'S KELLEY'S KELLI'S KELLY'S KELLYS MACHIAVELLI'S PIRELLI'S ROBUSTELLI'S SELIES SELIES' SHELLEY'S
ER1-K-Y-AH0-L-ER0-Z, CIRCULARS
IH1-M-W-AY0-P, KIMWIPE
IY1-P-W-AO2-K-ER0, SLEEPWALKER
AE1-M-B-UH2-SH-T, AMBUSHED
AA1-N-OW0-L-AY2-N, ECONOLINE
AE1-D-IH0-K-AH0-L-IH2-Z-AH0-M, RADICALISM
AE1-M-AH0-M-IY2-N, DRAMAMINE
EH1-R-K, EHRKE GEHRKE LEHRKE
ER1-N-AH0-B-AY0, BERNABEI
AE1-S-P-ER0, ASPER CASPAR CASPER GASPAR GASPER GLASPER JASPER KASPAR KASPER
AO1-S-K-ER0, OSCAR OSKAR
AY1-S-B-R-EY2-K-ER0, ICEBREAKER
AO1-R-IH2-S-EH0-T, MORRISETTE MORRISSETTE
ER1-N-P-OW2-S-T-S, STERNPOSTS
EY1-L-EY2-D, WAYLAID
IH1-L-AH0-G-R-AE2-M, KILOGRAM MILLIGRAM
AE1-N-S-IY0-ER0, FANCIER RANSIER
AE1-N-D-Z-M-AH0-N, LANDSMAN
IH1-B-ER0-EY2-T-IH0-V, DELIBERATIVE
OW1-L-IY0-AH0-S-T, HOLIEST
AY1-S-AE2-N-D-Z, STREISAND'S(2)
OW1-T-OW0-K-AA2-P-IY0, PHOTOCOPY
EH1-N-D-IH0-NG-Z, ENDINGS LENDINGS
AE1-T-IH0-K-AH0-N-Z, VATICAN'S
AE1-JH-W-IH2-K, NADGWICK
AA1-R-B-ER0, ARBOR ARBOUR BARBER BARBOUR BARBRE FARBER GARBER HARBER HARBOR HARBOUR KARBER PEARL-HARBOR SARBER SHARBER YARBER
OY1-K-IH2-N-Z, BOYKINS
UH1-L-IY0-D, BULLIED
UW1-D-AH0-N-S-T-AY0-N, RUDENSTEIN(2)
UW1-P-ER0-M-AH0-JH-AO2-R-AH0-T-IY0, SUPERMAJORITY
AE1-L-ER0-IY0-Z, CALORIES GALERIES GALLERIES GALLERY'S SALARIES
AA1-K-AO2-V, YAKOV
AA1-R-AH0-V-IH2-T-S, HOROVITZ
AA1-K-T-ER0-AH0-T-S, DOCTORATES
AE1-P-CH-ER0-IH0-NG, CAPTURING RECAPTURING
AE1-T-AH0-L-AH0-S-T, CATALYST
EH1-K-T-AH0-S-AY2-D-Z, INSECTICIDES
EH1-K-S-IH0-K-AH0-N, NEW-MEXICAN
EH1-L-SH-AA2-K-T, SHELLSHOCKED
EH1-F-AH0-L-AA2-N, CEPHALON
EH1-L-T-W-AA2-T-ER0, MELTWATER
AH1-F-AH0-T, BUFFET(2) BUFFETT DUFFETT
EH1-F-AH0-S, CEPHUS JEFFUS OREFFICE PREFACE
EH1-V-R-AH0-S-T-S, EVEREST'S(2)
IH1-N-JH-M-AH0-N-T-S, INFRINGEMENTS
OW1-L-D-ER0-B-AW0-M, HOLDERBAUM
AO1-L-D-AH0-N-B-UH2-K-S, WALDENBOOKS WALDENBOOKS'
OW1-P-N-ER0, HOEPFNER(2) HOEPNER HOEPPNER SCHOEPPNER
IH1-R-P-IY0-S-AH0-Z, EARPIECES
AH1-D-ER0-D, SHUDDERED STUDDARD
EH1-T-ER0-N-IH0-CH, METTERNICH
AH1-L-JH-AH0-Z, BULGES INDULGES
EH1-R-AH0-V-IH0-K, BAROVIC
AE1-D-IH2-M, HARADIM
UW1-M-AH0-B-AH0-L, CONSUMABLE
AA1-R-T-F-ER0-D, HARTFORD
AA1-P-B-AO2-R-D, MOPBOARD
AE1-L-G-AH0-L-IH2-SH, DALGLEISH
AA1-M-P-AA2-N-Z, POMPONS
AO1-R-AH0-F-IY2-L-D, MOREFIELD
AW1-B-AH0-L, AUBEL FAUBEL FOWBLE
EH1-D-EH0-T, LEDET
ER1-D-AH0-D, HERDED WORDED
IH1-S-AH0-D-AH0-N-S, DISSIDENCE
EY1-P-ER0-S-T-AY0-N, SAPERSTEIN
IY1-T-ER0-IY0, EATERY PETERY
AY1-T-OW0-JH-EH0-N, CYTOGEN
AY1-D-AH0-L-W-AY2-L, IDLEWILD(2)
AY1-B-AH0-N, EIBEN PSILOCYBIN
